Agent,Agent,Wins,Wins,Draws,,,,,,,,,,,,,,
Monte80-5,Monte40-10,35,159,6,,,,,,,,,,,,,,
Monte80-5,Monte40-10,Draws,,,,,,10,20,30,40,50,60,70,80,90,100,110
39,152,9,,,,,,,,,,,,,,,,
Monte80-10,Monte40-10,Draws,,,,,,,,,,,,,,,,
50,47,3,,,Wins,Losses,Draws,,,,,,,,,,,
Monte80-10,Monte30-10,Draws,,,87,12,1,,,,,,,,,,,
53,44,3,,,64,33,3,,,,,,,,,,,
Monte80-10,Monte20-10,Draws,,,53,44,3,,,,,,,,,,,
64,33,3,,,50,47,3,,,,,,,,,,,
Monte80-10,Monte70-10,Draws,,,61,39,0,,,,,,,,,,,
55,43,2,,,57,39,4,,,,,,,,,,,
Monte80-10,Monte60-10,Draws,,,55,43,2,,,,,,,,,,,
57,39,4,,,53,47,0,,,,,,,,,,,
Monte80-10,Monte10-10,Draws,,,43,57,0,,,,,,,,,,,
87,12,1,,,48,52,0,,,,,,,,,,,
Monte80-10,Monte50-10,Draws,,,39,60,1,,,,,,,,,,,
61,39,0,,,,,,,,,,,,,,,,
Monte80-10,Monte110-10,Draws,,,,,,,,,,,,,,,,
39,60,1,,,,,,,,,,,,,,,,
Monte80-10,Monte100-10,Draws,,,,,,,,,,,,,,,,
48,52,0,,,,,,,,,,,,,,,,
Monte80-10,Monte90-10,Draws,,,,,,,,,,,,,,,,
43,57,0,,,,,,,,,,,,,,,,
Monte80-10,Monte80-10,Draws,,,,,,,,,,,,,,,,
53,47,0,,,,,,,,,,,,,,,,
